,utterance,session_id,person_id,new_ids,rgb,wav,thr
0,719.0,18,61,61,72.jpg,719.wav,72.jpg
1,737.0,18,61,61,77.jpg,737.wav,77.jpg
2,376.0,18,61,61,77.jpg,376.wav,77.jpg
3,208.0,18,61,61,77.jpg,208.wav,77.jpg
4,655.0,18,61,61,77.jpg,655.wav,77.jpg
5,1274.0,18,61,61,77.jpg,1274.wav,77.jpg
6,919.0,24,61,61,77.jpg,919.wav,77.jpg
7,954.0,24,61,61,77.jpg,954.wav,77.jpg
8,893.0,24,61,61,77.jpg,893.wav,77.jpg
9,698.0,24,61,61,77.jpg,698.wav,77.jpg
10,1018.0,24,61,61,50.jpg,1018.wav,50.jpg
11,1070.0,24,61,61,77.jpg,1070.wav,77.jpg
12,758.0,19,61,61,77.jpg,758.wav,77.jpg
13,132.0,19,61,61,77.jpg,132.wav,77.jpg
14,852.0,19,61,61,77.jpg,852.wav,77.jpg
15,1027.0,19,61,61,77.jpg,1027.wav,77.jpg
16,685.0,19,61,61,77.jpg,685.wav,77.jpg
17,277.0,21,61,61,77.jpg,277.wav,77.jpg
18,635.0,21,61,61,77.jpg,635.wav,77.jpg
19,623.0,21,61,61,77.jpg,623.wav,77.jpg
20,991.0,23,61,61,77.jpg,991.wav,77.jpg
21,1206.0,23,61,61,77.jpg,1206.wav,77.jpg
22,560.0,23,61,61,77.jpg,560.wav,77.jpg
23,1290.0,23,61,61,77.jpg,1290.wav,77.jpg
24,505.0,23,61,61,77.jpg,505.wav,77.jpg
25,1039.0,22,61,61,72.jpg,1039.wav,72.jpg
26,115.0,22,61,61,77.jpg,115.wav,77.jpg
27,156.0,22,61,61,77.jpg,156.wav,77.jpg
28,548.0,22,61,61,77.jpg,548.wav,77.jpg
29,390.0,28,61,61,77.jpg,390.wav,77.jpg
30,80.0,28,61,61,77.jpg,80.wav,77.jpg
31,916.0,28,61,61,77.jpg,916.wav,77.jpg
32,349.0,28,61,61,77.jpg,349.wav,77.jpg
33,442.0,28,61,61,77.jpg,442.wav,77.jpg
34,783.0,26,61,61,77.jpg,783.wav,77.jpg
35,166.0,26,61,61,72.jpg,166.wav,72.jpg
36,355.0,26,61,61,77.jpg,355.wav,77.jpg
37,375.0,26,61,61,77.jpg,375.wav,77.jpg
38,335.0,26,61,61,77.jpg,335.wav,77.jpg
39,1186.0,17,61,61,77.jpg,1186.wav,77.jpg
40,5.0,17,61,61,77.jpg,5.wav,77.jpg
41,650.0,17,61,61,77.jpg,650.wav,77.jpg
42,146.0,17,61,61,77.jpg,146.wav,77.jpg
43,351.0,17,61,61,77.jpg,351.wav,77.jpg
44,718.0,11,61,61,72.jpg,718.wav,72.jpg
45,451.0,11,61,61,77.jpg,451.wav,77.jpg
46,1046.0,11,61,61,77.jpg,1046.wav,77.jpg
47,1195.0,11,61,61,77.jpg,1195.wav,77.jpg
48,242.0,29,61,61,77.jpg,242.wav,77.jpg
49,1210.0,29,61,61,77.jpg,1210.wav,77.jpg
50,2.0,29,61,61,77.jpg,2.wav,77.jpg
51,424.0,29,61,61,77.jpg,424.wav,77.jpg
52,168.0,25,61,61,77.jpg,168.wav,77.jpg
53,188.0,25,61,61,77.jpg,188.wav,77.jpg
54,1075.0,25,61,61,77.jpg,1075.wav,77.jpg
55,959.0,25,61,61,77.jpg,959.wav,77.jpg
56,280.0,25,61,61,77.jpg,280.wav,77.jpg
57,1188.0,25,61,61,50.jpg,1188.wav,50.jpg
58,1015.0,15,61,61,77.jpg,1015.wav,77.jpg
59,1069.0,15,61,61,77.jpg,1069.wav,77.jpg
60,492.0,15,61,61,77.jpg,492.wav,77.jpg
61,255.0,15,61,61,77.jpg,255.wav,77.jpg
62,600.0,15,61,61,77.jpg,600.wav,77.jpg
63,1152.0,15,61,61,77.jpg,1152.wav,77.jpg
64,209.0,27,61,61,77.jpg,209.wav,77.jpg
65,1052.0,27,61,61,77.jpg,1052.wav,77.jpg
66,10.0,27,61,61,77.jpg,10.wav,77.jpg
67,666.0,27,61,61,77.jpg,666.wav,77.jpg
68,868.0,13,61,61,77.jpg,868.wav,77.jpg
69,1042.0,13,61,61,77.jpg,1042.wav,77.jpg
