source,utterance,data_type,session_id,person_id,train_type
207.wav,207,wav,18,107,valid
93.wav,93,wav,18,107,valid
180.wav,180,wav,18,107,valid
146.wav,146,wav,18,107,valid
77.jpg,180,thr,18,107,valid
77.jpg,207,thr,18,107,valid
77.jpg,93,thr,18,107,valid
77.jpg,146,thr,18,107,valid
77.jpg,180,rgb,18,107,valid
77.jpg,207,rgb,18,107,valid
77.jpg,93,rgb,18,107,valid
77.jpg,146,rgb,18,107,valid
91.wav,91,wav,24,107,valid
116.wav,116,wav,24,107,valid
109.wav,109,wav,24,107,valid
217.wav,217,wav,24,107,valid
206.wav,206,wav,24,107,valid
77.jpg,109,thr,24,107,valid
77.jpg,217,thr,24,107,valid
77.jpg,91,thr,24,107,valid
77.jpg,116,thr,24,107,valid
77.jpg,206,thr,24,107,valid
77.jpg,109,rgb,24,107,valid
77.jpg,217,rgb,24,107,valid
77.jpg,91,rgb,24,107,valid
77.jpg,116,rgb,24,107,valid
77.jpg,206,rgb,24,107,valid
106.wav,106,wav,19,107,valid
221.wav,221,wav,19,107,valid
111.wav,111,wav,19,107,valid
212.wav,212,wav,19,107,valid
112.wav,112,wav,19,107,valid
163.wav,163,wav,19,107,valid
77.jpg,221,thr,19,107,valid
77.jpg,112,thr,19,107,valid
77.jpg,111,thr,19,107,valid
77.jpg,212,thr,19,107,valid
77.jpg,163,thr,19,107,valid
77.jpg,106,thr,19,107,valid
77.jpg,221,rgb,19,107,valid
77.jpg,112,rgb,19,107,valid
77.jpg,111,rgb,19,107,valid
77.jpg,212,rgb,19,107,valid
77.jpg,163,rgb,19,107,valid
77.jpg,106,rgb,19,107,valid
43.wav,43,wav,21,107,valid
196.wav,196,wav,21,107,valid
27.wav,27,wav,21,107,valid
44.wav,44,wav,21,107,valid
77.jpg,43,thr,21,107,valid
77.jpg,44,thr,21,107,valid
77.jpg,196,thr,21,107,valid
77.jpg,27,thr,21,107,valid
77.jpg,43,rgb,21,107,valid
77.jpg,44,rgb,21,107,valid
77.jpg,196,rgb,21,107,valid
77.jpg,27,rgb,21,107,valid
18.wav,18,wav,23,107,valid
87.wav,87,wav,23,107,valid
186.wav,186,wav,23,107,valid
222.wav,222,wav,23,107,valid
77.jpg,18,thr,23,107,valid
77.jpg,186,thr,23,107,valid
77.jpg,222,thr,23,107,valid
77.jpg,87,thr,23,107,valid
77.jpg,18,rgb,23,107,valid
77.jpg,186,rgb,23,107,valid
77.jpg,222,rgb,23,107,valid
77.jpg,87,rgb,23,107,valid
122.wav,122,wav,22,107,valid
72.wav,72,wav,22,107,valid
70.wav,70,wav,22,107,valid
114.wav,114,wav,22,107,valid
181.wav,181,wav,22,107,valid
22.wav,22,wav,22,107,valid
77.jpg,181,thr,22,107,valid
77.jpg,122,thr,22,107,valid
77.jpg,22,thr,22,107,valid
77.jpg,70,thr,22,107,valid
77.jpg,72,thr,22,107,valid
77.jpg,114,thr,22,107,valid
77.jpg,181,rgb,22,107,valid
77.jpg,122,rgb,22,107,valid
77.jpg,22,rgb,22,107,valid
77.jpg,70,rgb,22,107,valid
77.jpg,72,rgb,22,107,valid
77.jpg,114,rgb,22,107,valid
40.wav,40,wav,28,107,valid
82.wav,82,wav,28,107,valid
246.wav,246,wav,28,107,valid
67.wav,67,wav,28,107,valid
178.wav,178,wav,28,107,valid
86.wav,86,wav,28,107,valid
201.wav,201,wav,28,107,valid
244.wav,244,wav,28,107,valid
77.jpg,82,thr,28,107,valid
72.jpg,178,thr,28,107,valid
77.jpg,201,thr,28,107,valid
50.jpg,244,thr,28,107,valid
77.jpg,86,thr,28,107,valid
77.jpg,67,thr,28,107,valid
77.jpg,246,thr,28,107,valid
77.jpg,40,thr,28,107,valid
77.jpg,82,rgb,28,107,valid
72.jpg,178,rgb,28,107,valid
