2023-04-23 20:26:09,085 INFO    MainThread:3066050 [wandb_setup.py:_flush():76] Configure stats pid to 3066050
2023-04-23 20:26:09,086 INFO    MainThread:3066050 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-04-23 20:26:09,086 INFO    MainThread:3066050 [wandb_setup.py:_flush():76] Loading settings from /workdir/Speaker_Verification_version_1.0/Speaker-Verification/wandb/settings
2023-04-23 20:26:09,086 INFO    MainThread:3066050 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-23 20:26:09,086 INFO    MainThread:3066050 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'issai_task_3_train.py', 'program': '/workdir/Speaker_Verification_version_1.0/Speaker-Verification/issai_task_3_train.py'}
2023-04-23 20:26:09,086 INFO    MainThread:3066050 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-04-23 20:26:09,086 INFO    MainThread:3066050 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-04-23 20:26:09,086 INFO    MainThread:3066050 [wandb_init.py:_log_setup():507] Logging user logs to /workdir/Speaker_Verification_version_1.0/Speaker-Verification/wandb/run-20230423_202609-yj3ju8dd/logs/debug.log
2023-04-23 20:26:09,086 INFO    MainThread:3066050 [wandb_init.py:_log_setup():508] Logging internal logs to /workdir/Speaker_Verification_version_1.0/Speaker-Verification/wandb/run-20230423_202609-yj3ju8dd/logs/debug-internal.log
2023-04-23 20:26:09,086 INFO    MainThread:3066050 [wandb_init.py:init():547] calling init triggers
2023-04-23 20:26:09,086 INFO    MainThread:3066050 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'n_batch': 200, 'n_ways': 60, 'n_support': 1, 'n_query': 1, 'valid_batch_size': 64, 'dist_type': 'squared_euclidean', 'library': 'pytorch', 'model_name': 'resnet34', 'fine_tune': 1, 'pool': 'default', 'exp_name': 'wav_duration_3', 'pretrained_weights': 1, 'embedding_size': 128, 'sample_rate': 16000, 'sample_duration': 3.0, 'n_fft': 1024, 'win_length': 400, 'hop_length': 512, 'n_mels': 64, 'image_resize': 128, 'num_epochs': 100, 'modality': 'wav'}
2023-04-23 20:26:09,086 INFO    MainThread:3066050 [wandb_init.py:init():595] starting backend
2023-04-23 20:26:09,086 INFO    MainThread:3066050 [wandb_init.py:init():599] setting up manager
2023-04-23 20:26:09,087 INFO    MainThread:3066050 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-23 20:26:09,089 INFO    MainThread:3066050 [wandb_init.py:init():605] backend started and connected
2023-04-23 20:26:09,091 INFO    MainThread:3066050 [wandb_init.py:init():695] updated telemetry
2023-04-23 20:26:09,121 INFO    MainThread:3066050 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-23 20:26:09,781 INFO    MainThread:3066050 [wandb_run.py:_on_init():2176] communicating current version
2023-04-23 20:26:10,077 INFO    MainThread:3066050 [wandb_run.py:_on_init():2185] got version response 
2023-04-23 20:26:10,077 INFO    MainThread:3066050 [wandb_init.py:init():782] starting run threads in backend
2023-04-23 20:26:10,204 INFO    MainThread:3066050 [wandb_run.py:_console_start():2157] atexit reg
2023-04-23 20:26:10,205 INFO    MainThread:3066050 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-23 20:26:10,205 INFO    MainThread:3066050 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-23 20:26:10,205 INFO    MainThread:3066050 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-23 20:26:10,205 INFO    MainThread:3066050 [wandb_init.py:init():824] run started, returning control to user process
